FractureX[m],FractureY[m],FractureZ[m],FractureRadius[m],Area[m2],Trend[deg],Plunge[deg],Strike[deg],Dip_Angle[deg],Aperture[m],Permeability[m2],Compressibility[1/kPa]
335775.0,4263134.0,-916.0,49.0,7461.0,134.3,49.0,224.3,41.0,0.0002,3.33e-09,5e-06
335800.0,4263142.0,-914.0,61.0,11836.0,91.4,23.8,181.4,66.2,0.0002,3.33e-09,5e-06
335806.0,4263133.0,-842.0,45.0,6293.0,102.8,40.3,192.8,49.7,0.0002,3.33e-09,5e-06
335782.0,4263167.0,-1000.0,22.0,1468.0,138.5,31.1,228.5,58.9,0.0002,3.33e-09,5e-06
335772.0,4263143.0,-788.0,13.0,546.0,208.1,73.6,298.1,16.4,0.0002,3.33e-09,5e-06
335758.0,4263115.0,-861.0,37.0,4331.0,79.3,34.6,169.3,55.4,0.0002,3.33e-09,5e-06
335779.0,4263112.0,-1011.0,17.0,940.0,19.8,31.1,109.8,58.9,0.0002,3.33e-09,5e-06
335746.0,4263175.0,-853.0,8.0,186.0,106.6,6.8,196.6,83.2,0.0002,3.33e-09,5e-06
335781.0,4263130.0,-1008.0,7.0,146.0,135.9,56.5,225.9,33.5,0.0002,3.33e-09,5e-06
335731.0,4263143.0,-885.0,30.0,2812.0,81.3,17.9,171.3,72.1,0.0002,3.33e-09,5e-06
335741.0,4263139.0,-874.0,22.0,1545.0,87.1,30.1,177.1,59.9,0.0002,3.33e-09,5e-06
335799.0,4263155.0,-1035.0,17.0,941.0,345.0,13.2,75.0,76.8,0.0002,3.33e-09,5e-06
335730.0,4263141.0,-873.0,9.0,276.0,55.5,68.0,145.5,22.0,0.0002,3.33e-09,5e-06
335716.0,4263113.0,-872.0,47.0,7073.0,69.0,80.2,159.0,9.8,0.0002,3.33e-09,5e-06
335719.0,4263129.0,-879.0,23.0,1735.0,95.7,77.0,185.7,13.0,0.0002,3.33e-09,5e-06
335731.0,4263154.0,-831.0,43.0,5715.0,103.9,25.6,193.9,64.4,0.0002,3.33e-09,5e-06
335735.0,4263141.0,-922.0,7.0,151.0,113.5,22.3,203.5,67.7,0.0002,3.33e-09,5e-06
335699.0,4263116.0,-883.0,8.0,181.0,349.8,66.5,79.8,23.5,0.0002,3.33e-09,5e-06
335731.0,4263164.0,-865.0,4.0,49.0,254.5,13.1,344.5,76.9,0.0002,3.33e-09,5e-06
335722.0,4263133.0,-852.0,12.0,422.0,308.5,7.8,38.5,82.2,0.0002,3.33e-09,5e-06
335708.0,4263106.0,-884.0,5.0,80.0,279.4,44.3,9.4,45.7,0.0002,3.33e-09,5e-06
335734.0,4263169.0,-852.0,4.0,54.0,134.7,61.8,224.7,28.2,0.0002,3.33e-09,5e-06
335730.0,4263160.0,-843.0,32.0,3171.0,20.3,70.7,110.3,19.3,0.0002,3.33e-09,5e-06
335720.0,4263153.0,-837.0,35.0,3951.0,83.5,46.8,173.5,43.2,0.0002,3.33e-09,5e-06
335702.0,4263109.0,-829.0,5.0,80.0,80.6,18.9,170.6,71.1,0.0002,3.33e-09,5e-06
335743.0,4263114.0,-852.0,6.0,98.0,5.9,51.6,95.9,38.4,0.0002,3.33e-09,5e-06
